Year,STN_Code,Monitoring_Location,State,Temp_Min_C,Temp_Max_C,pH_Min,pH_Max,Conductivity_Min,Conductivity_Max,BOD_Min,BOD_Max,NitrateN_NitriteN_Min,NitrateN_NitriteN_Max,Fecal_Coliform_Min,Fecal_Coliform_Max,Total_Coliform_Min,Total_Coliform_Max,TDS_Min,TDS_Max,Fluoride_Min,Fluoride_Max,Arsenic_Min,Arsenic_Max,Temp_Mean,Temp_Exceeds_BIS,pH_Mean,pH_Exceeds_BIS,Conductivity_Mean,BOD_Mean,NitrateN_NitriteN_Mean,NitrateN_NitriteN_Exceeds_BIS,Fecal_Coliform_Mean,Total_Coliform_Mean,TDS_Mean,TDS_Exceeds_BIS,Fluoride_Mean,Fluoride_Exceeds_BIS,Arsenic_Mean,Arsenic_Exceeds_BIS
2017,26,WELL AT VIJAYWADA,Andhra Pradesh,25.0,27.0,7.9,8.1,1410.0,1732.0,0.6,0.8,2.0,2.0,400.0,400.0,2.65,4.21,,,,,,,26.0,0,8.0,0,1571.0,0.7,2.0,0,400.0,3.4299999999999997,,0,,0,,0
2017,1513,"BOREWELL KRISHNA MURTHY, D.NO. 48-16-43",Andhra Pradesh,26.0,29.0,8.0,8.2,1180.0,1729.0,0.8,0.8,2.0,2.0,400.0,400.0,0.0,1.53,,,,,,,27.5,0,8.1,0,1454.5,0.8,2.0,0,400.0,0.765,,0,,0,,0
2017,1514,BOREWELL VIJAY KUMAR AUTONAGAR AUTONAGAR VIJJAYAWADA,Andhra Pradesh,26.0,28.0,7.8,8.2,1410.0,1604.0,0.8,1.0,2.0,2.0,400.0,400.0,1.28,4.35,,,,,,,27.0,0,8.0,0,1507.0,0.9,2.0,0,400.0,2.815,,0,,0,,0
2017,1516,"BOREWELL OF NAVLOK GARDENS, NELLORE VIJAYAWADA",Andhra Pradesh,27.0,27.0,8.3,8.3,1020.0,1074.0,0.8,0.9,2.0,2.0,400.0,400.0,0.99,1.12,,,,,,,27.0,0,8.3,0,1047.0,0.8500000000000001,2.0,0,400.0,1.0550000000000002,,0,,0,,0
2017,1517,BOREWELL NEAR TUNGBHADRA RIVER KURNOOL,Andhra Pradesh,21.0,23.0,7.6,7.9,2240.0,4700.0,0.7,1.0,2.0,2.0,2.0,2.0,2.12,4.4,,,,,,,22.0,0,7.75,0,3470.0,0.85,2.0,0,2.0,3.2600000000000002,,0,,0,,0
2017,1518,BOREWELL AT NANDYAL (KUNDU),Andhra Pradesh,23.0,24.0,7.7,7.8,4400.0,4420.0,0.8,1.0,2.0,2.0,2.0,2.0,3.0,4.0,,,,,,,23.5,0,7.75,0,4410.0,0.9,2.0,0,2.0,3.5,,0,,0,,0
2017,1519,BOREWELL AT NAGIRI,Andhra Pradesh,25.0,31.0,7.5,7.5,1763.0,1973.0,0.5,1.0,2.0,2.0,2.0,2.0,1.8,2.8,,,,,,,28.0,0,7.5,0,1868.0,0.75,2.0,0,2.0,2.3,,0,,0,,0
2017,1520,BOREWELL NEAR SWARNAMUKHI RIVER AT,Andhra Pradesh,26.0,29.0,7.6,7.7,735.0,1285.0,0.7,1.0,2.0,2.0,2.0,2.0,1.1,1.3,,,,,,,27.5,0,7.65,0,1010.0,0.85,2.0,0,2.0,1.2000000000000002,,0,,0,,0
2017,1521,"OPEN WELL NEAR RAMA TEMPLE , WARD NO.2 , SRIKALAHASTI",Andhra Pradesh,26.0,27.0,6.9,7.3,2787.0,3163.0,2.0,2.0,13.0,15.0,380.0,460.0,9.78,10.06,,,,,,,26.5,0,7.1,0,2975.0,2.0,14.0,0,420.0,9.92,,0,,0,,0
2017,1522,"OPEN WELL PEDDANUVVI - VIZIANAGARAM MINDI , VISAKHAPATNAM",Andhra Pradesh,26.0,28.0,7.2,7.9,514.0,782.0,1.7,1.9,11.0,11.0,150.0,210.0,1.15,3.41,,,,,,,27.0,0,7.550000000000001,0,648.0,1.7999999999999998,11.0,0,180.0,2.2800000000000002,,0,,0,,0
2017,1523,"BOREWELL NEAR M/S ANDHRA SUGARS LTD. ,",Andhra Pradesh,25.0,26.0,6.9,7.7,464.0,590.0,1.4,1.5,9.0,9.0,45.0,65.0,2.44,3.82,,,,,,,25.5,0,7.300000000000001,0,527.0,1.45,9.0,0,55.0,3.13,,0,,0,,0
2017,1524,OPEN WELL NEAR PARTAP NAGAR BRIDGE - KOVVUR,Andhra Pradesh,27.0,29.0,6.9,7.8,1403.0,1681.0,1.4,1.8,9.0,9.0,45.0,120.0,2.07,3.4,,,,,,,28.0,0,7.35,0,1542.0,1.6,9.0,0,82.5,2.735,,0,,0,,0
2017,3087,"BORE WELL NEAR VILLAGE SECRETARIAT, KAKINADA",Andhra Pradesh,26.0,26.0,7.3,7.7,2110.0,2310.0,0.8,1.0,2.0,2.0,400.0,400.0,0.38,0.48,,,,,,,26.0,0,7.5,0,2210.0,0.9,2.0,0,400.0,0.43,,0,,0,,0
2017,3089,"HAND PUMP AT TANAM VILL., VISHAKHAPATNAM PATHAPADU (V)",Andhra Pradesh,25.0,27.0,7.3,7.5,2223.0,2234.0,1.6,1.8,11.0,11.0,210.0,210.0,4.64,10.63,,,,,,,26.0,0,7.4,0,2228.5,1.7000000000000002,11.0,0,210.0,7.635,,0,,0,,0
2017,3090,"HAND PUMP AT PITTAVANIPALEM,",Andhra Pradesh,22.0,26.0,7.0,7.3,2076.0,2267.0,1.5,1.5,9.0,11.0,45.0,45.0,10.89,13.72,,,,,,,24.0,0,7.15,0,2171.5,1.5,10.0,0,45.0,12.305,,0,,0,,0
2017,3091,"BORE WELL AT KAPULUPPADA DUMPSITE, VISHAKHAPATNAM",Andhra Pradesh,26.0,29.0,7.2,7.3,2715.0,3609.0,1.4,1.6,7.0,7.0,460.0,460.0,10.77,23.37,,,,,,,27.5,0,7.25,0,3162.0,1.5,7.0,0,460.0,17.07,,0,,0,,0
2017,3092,"BORE WELL AT ARINAMA AKKIVALASA, VISHAKHAPATNAM",Andhra Pradesh,27.0,28.0,7.7,7.8,862.0,1009.0,1.4,1.6,11.0,15.0,69.0,110.0,3.03,6.82,,,,,,,27.5,0,7.75,0,935.5,1.5,13.0,0,89.5,4.925,,0,,0,,0
2017,3093,"BORE WELL AT ALLADAPALEM VILLAGE, SRIKAKULAM",Andhra Pradesh,26.0,26.0,7.7,7.8,1645.0,1888.0,1.5,2.3,7.0,9.0,45.0,65.0,4.44,4.68,,,,,,,26.0,0,7.75,0,1766.5,1.9,8.0,0,55.0,4.5600000000000005,,0,,0,,0
2017,1533,"DIGBOI, TINSUKIA DISTT., ASSAM",Assam,22.0,22.0,6.2,6.3,212.0,450.0,1.2,1.4,2.0,2.0,2.0,2.0,0.7,1.8,,,,,,,22.0,0,6.25,0,331.0,1.2999999999999998,2.0,0,2.0,1.25,,0,,0,,0
2017,1534,"GROUND WATER AT KARBI ANGLONG DISTT.,",Assam,26.0,26.0,5.6,5.8,186.0,1134.0,0.8,1.1,2.0,150.0,2.0,200.0,0.3,0.9,,,,,,,26.0,0,5.699999999999999,0,660.0,0.9500000000000001,76.0,1,101.0,0.6,,0,,0,,0
2017,1535,GROUND WATER AT SIBSAGAR GOVT ME SCHOOL,Assam,23.0,29.0,6.1,6.6,189.0,277.0,0.6,1.5,2.0,2.0,2.0,2.0,1.0,2.5,,,,,,,26.0,0,6.35,0,233.0,1.05,2.0,0,2.0,1.75,,0,,0,,0
2017,1536,"GROUND WATER NEAR BPMS H.S. SCHOOL WARD 6, RED CROSS ROAD , ASSAM",Assam,24.0,28.0,6.4,6.5,176.0,200.0,0.6,1.2,2.0,2.0,2.0,2.0,0.5,1.7,,,,,,,26.0,0,6.45,0,188.0,0.8999999999999999,2.0,0,2.0,1.1,,0,,0,,0
2017,1537,"GROUND WATER AT (JORHAT, ASSAM) SONARI TOWN DIST CHARAIDEO",Assam,23.0,27.0,6.4,7.4,179.0,275.0,0.6,1.4,2.0,2.0,2.0,2.0,0.8,1.4,,,,,,,25.0,0,6.9,0,227.0,1.0,2.0,0,2.0,1.1,,0,,0,,0
2017,1538,"GROUND WATER AT SILCHAR, ASSAM",Assam,25.0,26.0,5.5,7.1,61.0,125.0,0.6,0.8,2.0,2.0,2.0,2.0,0.7,1.8,,,,,,,25.5,0,6.3,0,93.0,0.7,2.0,0,2.0,1.25,,0,,0,,0
2017,1539,"GROUND WATER AT BARPETA, ASSAM",Assam,27.0,28.0,7.3,7.8,272.0,309.0,0.8,1.1,2.0,2.0,2.0,300.0,0.4,1.9,,,,,,,27.5,0,7.55,0,290.5,0.9500000000000001,2.0,0,151.0,1.15,,0,,0,,0
2017,1540,"GROUND WATER AT BONAIGAON, ASSAM",Assam,28.0,29.0,6.0,6.1,143.0,190.0,1.4,1.6,2.0,2.0,2.0,2.0,2.5,7.9,,,,,,,28.5,0,6.05,0,166.5,1.5,2.0,0,2.0,5.2,,0,,0,,0
2017,1541,"GROUND WATER AT NOONMATI GUWAHATI,",Assam,26.0,28.0,6.9,7.1,344.0,464.0,1.0,2.3,2.0,2.0,2.0,2.0,2.1,2.3,,,,,,,27.0,0,7.0,0,404.0,1.65,2.0,0,2.0,2.2,,0,,0,,0
2017,1542,"GROUND WATER AT SIJUBARI MAZAR, NATBOMA",Assam,26.0,28.0,6.4,7.0,457.0,783.0,2.4,2.6,2.0,3500.0,2.0,5300.0,1.7,2.2,,,,,,,27.0,0,6.7,0,620.0,2.5,1751.0,1,2651.0,1.9500000000000002,,0,,0,,0
2017,2243,"GROUND WATER FROM LEDO, MARGHERITA, HATIGAON",Assam,22.0,22.0,5.1,6.0,142.0,224.0,0.6,1.3,2.0,2.0,2.0,2.0,1.0,1.9,,,,,,,22.0,0,5.55,0,183.0,0.95,2.0,0,2.0,1.45,,0,,0,,0
2017,2244,"GROUND WATER FROM NAZIRA, ASSAM",Assam,24.0,26.0,6.5,7.1,247.0,251.0,1.0,2.6,2.0,2.0,2.0,2.0,0.7,1.7,,,,,,,25.0,0,6.8,0,249.0,1.8,2.0,0,2.0,1.2,,0,,0,,0
2017,2245,GROUND WATER FROM NUMALIGARH (NEAR NRL,Assam,25.0,27.0,4.9,5.6,160.0,170.0,1.4,2.1,2.0,2.0,2.0,2.0,1.0,1.8,,,,,,,26.0,0,5.25,0,165.0,1.75,2.0,0,2.0,1.4,,0,,0,,0
