# -------------------------------------------------------
# ---- CSV created by:  mightymerge.io                   
# -------------------------------------------------------

,,TABLE - 1: WATER QUALITY OF GROUND WATER IN ANDHRA PRADESH - 2019,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Total Coli,,Faecal Coli
,,,Temperature,,,Dissolved,,,,Conductivity,,,,Nitrate-N +,,,,
"3089 ",,"ANDHRA PRADESH ","28.0 ","28.0 ","4.0 ","5.0 ","7.6 ","8.7 ","982 ","2359 ","2.0 ","2.0 ","9.98 ","10.84 ","11 ","15 ","21 ",150
,"VISHAKHAPATNAM ",,,,,,,,,,,,,,,,,
,HAND PUMP AT,,,,,,,,,,,,,,,,,
3090,"PITTAVANIPALEM,","ANDHRA PRADESH ","27.0 ","28.0 ","3.3 ","5.8 ","7.1 ","7.6 ","3543 ","4652 ","0.3 ","1.6 ","11.27 ","23.85 ","9 ","15 ","23 ",150
,VISHAKHAPATNAM,,,,,,,,,,,,,,,,,
,BORE WELL AT KAPULUPPADA,,,,,,,,,,,,,,,,,
"3091 ",,"ANDHRA PRADESH ","27.0 ","28.0 ","5.4 ","5.5 ","7.4 ","7.5 ","1997 ","2849 ","1.3 ","1.9 ","5.09 ","5.22 ","7 ","9 ","93 ",240
,"DUMPSITE, VISHAKHAPATNAM ",,,,,,,,,,,,,,,,,

,,,,,,,,,,,,,,,,Total Coli,,Faecal Coli
,,,Temperature,,,Dissolved,,,,Conductivity,,,,Nitrate-N +,,,,
,,,,,,,,"pH ",,,,"B.O.D. ",,,form,,form,
Station,,,,,,,,,,,,,,,,,,
,,,⁰C,,,"O2 ",,,,"(μmhos/cm) ",,,Nitrite-N (mg/l),,,,,
,"Station Name ",State Name,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,(MPN/100ml),,(MPN/100ml),
"Code ",,,,,,,,,,,,,,,,,,
,,,"min ","max ","min ","max ","min ","max ","min ","max ","min ","max ","min ","max ","min ","max ","min ",max
,BORE WELL AT ARINAMA,,,,,,,,,,,,,,,,,
"3092 ",,"ANDHRA PRADESH ","26.0 ","27.0 ","4.5 ","4.8 ","7.3 ","8.4 ","1059 ","1200 ","0.5 ","1.3 ","8.14 ","10.53 ","7 ","15 ","63 ",150
,"AKKIVALASA, SRIKAKULAM ",,,,,,,,,,,,,,,,,
,BORE WELL AT ALLADAPALEM,,,,,,,,,,,,,,,,,
"3093 ",,"ANDHRA PRADESH ","28.0 ","29.0 ","4.7 ","5.0 ","7.8 ","8.2 ","1274 ","1876 ","0.8 ","2.6 ","10.41 ","20.06 ","7 ","11 ","110 ",110
,"VILLAGE, PYDIBHIMAVARAM ",,,,,,,,,,,,,,,,,
,"BOREWELL AT ZP HIGH SCHOOL,",,,,,,,,,,,,,,,,,
,"UDDANAM REGION,",,,,,,,,,,,,,,,,,
4350,,"ANDHRA PRADESH ","26.0 ","26.0 ","6.0 ","6.3 ","7.0 ","7.9 ","967 ","1291 ","0.6 ","1.7 ","10.50 ","11.22 ","7 ","7 ","63 ",63
,AMALAPADU (V),,,,,,,,,,,,,,,,,
,VAJRAPUKOTTURU,,,,,,,,,,,,,,,,,
,BORE WELL AT MANGARAJU,,,,,,,,,,,,,,,,,
4353,"HOUSE, GAJAPATHINAGARAM","ANDHRA PRADESH ","25.0 ","25.0 ","6.1 ","6.1 ","7.5 ","7.5 ","2457 ","2457 ","1.0 ","1.0 ","10.96 ","10.96 ","4 ","4 ","63 ",63
,"VILLAGE, PAYAKARAOPETA (M)",,,,,,,,,,,,,,,,,
,"BORE WELL, SRI NOOKATATA",,,,,,,,,,,,,,,,,
4354,"TEMPLE RAJAYYAPETA VILLAGE,","ANDHRA PRADESH ","25.0 ","25.0 ","6.8 ","6.8 ","7.9 ","7.9 ","13150 ","13150 ","2.3 ","2.3 ","5.30 ","5.30 ","9 ","9 ","39 ",39
,NAKKAPALLI (M),,,,,,,,,,,,,,,,,
,"BORE WELL, CHIPPADA VILLAGE,",,,,,,,,,,,,,,,,,
"4355 ",,"ANDHRA PRADESH ","26.0 ","26.0 ","7.2 ","7.2 ","7.5 ","7.5 ","314 ","314 ","1.1 ","1.1 ","9.97 ","9.97 ","15 ","15 ","75 ",75
,"BHEEMUNIPATNAM (M) ",,,,,,,,,,,,,,,,,
,"BORE WELL AT IDA,",,,,,,,,,,,,,,,,,
"4360 ",,"ANDHRA PRADESH ","25.0 ","25.0 ","5.1 ","5.1 ","7.1 ","7.1 ","1560 ","1560 ","1.2 ","1.2 ","8.94 ","8.94 ","4 ","4 ","93 ",93
,"RAMANAYYAPETA, KKAINADA ",,,,,,,,,,,,,,,,,
,BOREWELL AT RAJIV GRUHA,,,,,,,,,,,,,,,,,
,"KA;PA, NEAR AP PAPER MAILLS",,,,,,,,,,,,,,,,,
4364,"WORKERS COLONY,","ANDHRA PRADESH ","27.0 ","27.0 ","4.9 ","4.9 ","7.3 ","7.3 ","892 ","892 ","1.5 ","1.5 ","7.65 ","7.65 ","4 ","4 ","69 ",69
