Year,STN_Code,Monitoring_Location,State,Temp_Min_C,Temp_Max_C,pH_Min,pH_Max,Conductivity_Min,Conductivity_Max,BOD_Min,BOD_Max,NitrateN_NitriteN_Min,NitrateN_NitriteN_Max,Fecal_Coliform_Min,Fecal_Coliform_Max,Total_Coliform_Min,Total_Coliform_Max,TDS_Min,TDS_Max,Fluoride_Min,Fluoride_Max,Arsenic_Min,Arsenic_Max,Temp_Mean,Temp_Exceeds_BIS,pH_Mean,pH_Exceeds_BIS,Conductivity_Mean,BOD_Mean,NitrateN_NitriteN_Mean,NitrateN_NitriteN_Exceeds_BIS,Fecal_Coliform_Mean,Total_Coliform_Mean,TDS_Mean,TDS_Exceeds_BIS,Fluoride_Mean,Fluoride_Exceeds_BIS,Arsenic_Mean,Arsenic_Exceeds_BIS
2016,26,WELL AT VIJAYWADA,Andhra Pradesh,22.0,26.0,7.51,8.03,960.0,1418.0,,,2.7,4.6,,,400.0,400.0,,,,,,,24.0,0,7.77,0,1189.0,,3.65,0,,400.0,,0,,0,,0
2016,1516,"BORE WELL OF NAVLOK GARDENS NELLORE VIJAYAWADA, KRISHNA DIST",Andhra Pradesh,,,8.5,8.6,557.0,670.0,,,0.5,0.6,,,400.0,400.0,,,,,,,,0,8.55,1,613.5,,0.55,0,,400.0,,0,,0,,0
2016,1518,"BORE WELL. - NANDYAL, KURNOOL DIST KURNOOL",Andhra Pradesh,22.0,28.0,7.7,7.9,4310.0,4310.0,0.8,1.0,2.3,3.2,,,16.0,16.0,,,,,,,25.0,0,7.800000000000001,0,4310.0,0.9,2.75,0,,16.0,,0,,0,,0
2016,1519,"BORE WELL - NAGIRI, CHITTOOR DIST",Andhra Pradesh,28.0,31.0,7.7,8.2,1122.0,1406.0,0.5,1.0,1.8,1.9,,,16.0,16.0,,,,,,,29.5,0,7.949999999999999,0,1264.0,0.75,1.85,0,,16.0,,0,,0,,0
2016,1522,"OPEN WELL. PEDDANUYYI - VIZIANAGARAM , MINDI , VISAKHAPATNAM",Andhra Pradesh,24.0,27.0,7.2,7.4,478.0,485.0,1.2,1.5,0.7,1.0,7.0,9.0,150.0,150.0,,,,,,,25.5,0,7.300000000000001,0,481.5,1.35,0.85,0,8.0,150.0,,0,,0,,0
2016,1533,"DIGBOI, TINSUKIA DISTT",Assam,21.0,21.0,6.6,6.6,200.0,200.0,2.8,2.8,0.1,0.1,2100.0,2100.0,,,,,,,,,21.0,0,6.6,0,200.0,2.8,0.1,0,2100.0,,,0,,0,,0
2016,1534,KARBI ANGLONG DISTT,Assam,24.0,26.0,6.2,6.9,561.0,827.0,1.3,2.7,0.3,0.3,,,,,,,,,,,25.0,0,6.550000000000001,0,694.0,2.0,0.3,0,,,,0,,0,,0
2016,1535,SIBSAGAR,Assam,23.0,24.0,6.5,6.5,224.0,267.0,0.9,2.4,0.1,0.3,,,,,,,,,,,23.5,0,6.5,0,245.5,1.65,0.2,0,,,,0,,0,,0
2016,1536,SIBSAGAR,Assam,23.0,25.0,6.0,6.8,127.0,245.0,1.8,2.7,0.1,0.4,,,,,,,,,,,24.0,0,6.4,0,186.0,2.25,0.25,0,,,,0,,0,,0
2016,1537,(JORHAT,Assam,24.0,26.0,6.4,6.6,159.0,181.0,2.1,2.2,0.1,6.0,,,,,,,,,,,25.0,0,6.5,0,170.0,2.1500000000000004,3.05,0,,,,0,,0,,0
