# -------------------------------------------------------
# ---- CSV created by:  mightymerge.io                   
# -------------------------------------------------------

,,Water Quality Data of Ground Water in Andhra Pradesh Monitored under NWMP-2024,,,,,,,,,,,,,,,,,,,,,
,,,Temperature,,,,,Conductivity,,,,NitrateN +,Fecal Coliform,,Total Coliform,,,Total Dissolved,,Fluoride,,,
,,,,,,"pH ",,,"BOD (mg/L) ",,,,,,,,,,,,,Arsenic (mg/L),
,,,"(°C) ",,,,,(μmho/cm),,,NitriteN(mg/L),,(MPN/100ml),,(MPN/100ml),,,Solids (mg/L),,(mg/L),,,
"STN Code ","Monitoring Location ",State Name,,,,,,,,,,,,,,,,,,,,,
,,,"Min ","Max ","Min ","Max ","Min ","Max ","Min ","Max ","Min ","Max ","Min ","Max ","Min ","Max ","Min ","Max ","Min ","Max ","Min ",Max,
"BIS IS 10500 : 2012 Drinking Water -Specification ",,,"- ",,,"6.5-8.5 ","- ",,"- ",,,"< 45 mg/L ","- ",,"- ",,,< 2000 mg/L,"< 1.5 mg/L ",,,< 0.05 mg/L,
,"LTD., KOVVUR TOWN ",,,,,,,,,,,,,,,,,,,,,,
,OPEN WELL NEAR PARTAP NAGAR,,,,,,,,,,,,,,,,,,,,,,
"1524 ",,"ANDHRA PRADESH ","26 ","29 ","7.39 ","7.64 ","1203 ","1302 ","1.2 ","2.2 ","0.7 ","0.71 ","1.8 ","1.8 ","3 ","3 ","792 ","840 ","0.35 ","0.67 ","0.001 ",0.001,
,"BRIDGE - KAKINADA TOWN ",,,,,,,,,,,,,,,,,,,,,,
,BOREWELL NEAR GRAMPANCHAYAT,,,,,,,,,,,,,,,,,,,,,,
3087,"OFFICE, PATHAPADU (V), VIJAYAWADA","ANDHRA PRADESH ","24 ","28 ","6.96 ","7.62 ","2105 ","2160 ","1.8 ","2 ","2.36 ","2.42 ","3 ","3 ","9 ","11 ","1240 ","1278 ","0.65 ","0.69 ","0.00049 ",0.00049,
,RURAL,,,,,,,,,,,,,,,,,,,,,,
,"HAND PUMP AT TANAM (V), PARAWADA",,,,,,,,,,,,,,,,,,,,,,
"3089 ",,"ANDHRA PRADESH ","29 ","29 ","8.1 ","8.2 ","1840 ","2107 ","1.7 ","2.1 ","0.32 ","4.27 ","1.8 ","1.8 ","3 ","3 ","1200 ","1388 ","0.66 ","0.82 ","0.00049 ",0.00049,
,"(M) ",,,,,,,,,,,,,,,,,,,,,,
,"HAND PUMP AT PITTAVANIPALEM (V),",,,,,,,,,,,,,,,,,,,,,,
"3090 ",,"ANDHRA PRADESH ","27 ","28 ","7.34 ","7.56 ","1515 ","1696 ","1.6 ","1.9 ","0.63 ","9.86 ","1.8 ","1.8 ","3 ","3 ","1020 ","1090 ","0.2 ","0.62 ","0.00049 ",0.00049,
,"PARAWADA (M) ",,,,,,,,,,,,,,,,,,,,,,
,BORE WELL AT KAPULUPPADA,,,,,,,,,,,,,,,,,,,,,,
