# -------------------------------------------------------
# ---- CSV created by:  mightymerge.io                   
# -------------------------------------------------------

,,WATER QUALITY DATA OF GROUND WATER UNDER NWMP - 2021,,,,,,,,,,,,,,,,,,,,
,,Temperature,,,,,Conductivity,,,,Nitrate N,Faecal Coliform,,Total Coliform,,Total Dissolved,,,Fluoride,,Arsenic,
,MACHILIPTNAM ANDHRA PRADESH,,,,,,,,,,,,,,,,,,,,,
"1519 ",,"28.0 ","29.0 ","7.1 ","7.3 ","1872 ","2741 ","1.0 ","1.0 ","5.20 ","6.80 ","2 ","4 ","2 ","16 ","1061 ","1361 ","0.5 ","0.5 ","0.001 ",0.001,
,"BOREWELL AT NAGIRI ANDHRA PRADESH ",,,,,,,,,,,,,,,,,,,,,
,BOREWELL AT NANDYAL,,,,,,,,,,,,,,,,,,,,,
"1518 ",,"23.0 ","27.0 ","7.2 ","7.3 ","6619 ","7770 ","1.0 ","1.0 ","5.80 ","6.20 ","2 ","2 ","2 ","14 ","4068 ","4413 ","1.0 ","1.1 ","0.001 ",0.001,
,"(KUNDU) ANDHRA PRADESH ",,,,,,,,,,,,,,,,,,,,,
,BOREWELL AT RAJIV GRUHA,,,,,,,,,,,,,,,,,,,,,
4364,"KA;PA, NEAR AP PAPER MAILLS","28.0 ","28.0 ","7.6 ","7.6 ","1048 ","1048 ","1.5 ","1.5 ","3.22 ","3.22 ","3 ","3 ","93 ","93 ","680 ","680 ","0.7 ","0.7 ","0.001 ",0.001,
,"WORKERS COLONY, ANDHRA PRADESH",,,,,,,,,,,,,,,,,,,,,

,,WATER QUALITY DATA OF GROUND WATER UNDER NWMP - 2021,,,,,,,,,,,,,,,,,,,,
,,Temperature,,,,,Conductivity,,,,Nitrate N,Faecal Coliform,,Total Coliform,,Total Dissolved,,,Fluoride,,Arsenic,
,,,,,"pH ",,,"BOD (mg/L) ",,,,,,,,,,,,,,
STN,,,,,,,,,,,,,,,,,,,,,,
,,,"⁰C ",,,,"(μmhos/cm) ",,,,(mg/L),(MPN/100ml),,(MPN/100ml),,,Solids (mg/L),,(mg/L),,(mg/L),
,Name of Monitoring Location State Name,,,,,,,,,,,,,,,,,,,,,
"Code ",,,,,,,,,,,,,,,,,,,,,,
,,"Min ","Max ","Min ","Max ","Min ","Max ","Min ","Max ","Min ","Max ","Min ","Max ","Min ","Max ","Min ","Max ","Min ","Max ","Min ",Max,
,"MALLAYAPETA, KATHERU,",,,,,,,,,,,,,,,,,,,,,
,RAJAMAHENDRAVARAM,,,,,,,,,,,,,,,,,,,,,
,"BOREWELL AT ZP HIGH SCHOOL,",,,,,,,,,,,,,,,,,,,,,
,"UDDANAM REGION,",,,,,,,,,,,,,,,,,,,,,
4350,,"24.0 ","24.0 ","7.1 ","7.1 ","1140 ","1140 ","2.4 ","2.4 ","8.00 ","8.00 ","4 ","4 ","93 ","93 ","746 ","746 ","0.8 ","0.8 ","0.002 ",0.003,
,AMALAPADU (V),,,,,,,,,,,,,,,,,,,,,
,VAJRAPUKOTTURU ANDHRA PRADESH,,,,,,,,,,,,,,,,,,,,,
,BOREWELL IN FRONT OF M/S,,,,,,,,,,,,,,,,,,,,,
,BHAGEERADHA CHEMICALS &,,,,,,,,,,,,,,,,,,,,,
4384,"INDUSTRIES LTD,","22.0 ","23.0 ","7.2 ","7.3 ","9090 ","10500 ","2.0 ","2.2 ","5.20 ","7.41 ","3 ","3 ","23 ","28 ","5634 ","6600 ","1.4 ","1.7 ","0.001 ",0.001,
,CHERUVUKOMMUPALEM (V),,,,,,,,,,,,,,,,,,,,,
,ONGOLE (M) ANDHRA PRADESH,,,,,,,,,,,,,,,,,,,,,
,"BOREWELL KRISHNA MURTHY,",,,,,,,,,,,,,,,,,,,,,
1513,D.NO. 48-16-43 AUTONAGAR,"25.0 ","25.0 ","7.1 ","7.8 ","1877 ","1970 ","1.4 ","1.8 ","0.30 ","0.70 ","3 ","3 ","21 ","39 ","1120 ","1160 ","0.3 ","0.3 ","0.001 ",0.001,
,VIJJAYAWADA ANDHRA PRADESH,,,,,,,,,,,,,,,,,,,,,
,BOREWELL NEAR M/S ANDHRA,,,,,,,,,,,,,,,,,,,,,
"1523 ",,"24.0 ","26.0 ","7.0 ","7.6 ","310 ","1447 ","2.0 ","2.0 ","0.79 ","1.10 ","4 ","7 ","75 ","93 ","212 ","988 ","0.2 ","1.1 ","0.001 ",0.001,
,"SUGARS LTD. , KOVVUR ANDHRA PRADESH ",,,,,,,,,,,,,,,,,,,,,
,BOREWELL NEAR SRI,,,,,,,,,,,,,,,,,,,,,
4392,"GOVINDARAJA SWAMY TEMPLE,","27.0 ","27.0 ","6.9 ","7.5 ","1380 ","1414 ","1.0 ","1.0 ","1.40 ","2.60 ","2 ","3 ","2 ","12 ","714 ","784 ","0.6 ","1.1 ","0.001 ",0.001,
,TIRUPATI TOWN ANDHRA PRADESH,,,,,,,,,,,,,,,,,,,,,
,BOREWELL NEAR,,,,,,,,,,,,,,,,,,,,,
1520,SWARNAMUKHI RIVER AT,"28.0 ","29.0 ","7.3 ","7.3 ","1027 ","1266 ","1.0 ","1.0 ","2.20 ","2.40 ","2 ","2 ","2 ","11 ","582 ","642 ","0.4 ","0.5 ","0.002 ",0.002,
,SRIKALAHASTI ANDHRA PRADESH,,,,,,,,,,,,,,,,,,,,,
,BOREWELL NEAR TUNGBHADRA,,,,,,,,,,,,,,,,,,,,,
"1517 ",,"23.0 ","26.0 ","7.8 ","7.9 ","4520 ","5663 ","1.0 ","1.0 ","6.70 ","10.10 ","2 ","3 ","2 ","29 ","2568 ","3370 ","1.3 ","1.8 ","0.001 ",0.001,
,"RIVER KURNOOL ANDHRA PRADESH ",,,,,,,,,,,,,,,,,,,,,
,BOREWELL OF NAVLOK,,,,,,,,,,,,,,,,,,,,,
"1516 ",,"20.0 ","21.0 ","8.1 ","8.1 ","1080 ","1100 ","1.2 ","1.4 ","1.10 ","1.18 ","3 ","3 ","15 ","21 ","630 ","658 ","0.4 ","0.5 ","0.001 ",0.001,
,"GARDENS, NELLORE ANDHRA PRADESH ",,,,,,,,,,,,,,,,,,,,,
,BOREWELL VIJAY KUMAR,,,,,,,,,,,,,,,,,,,,,
"1514 ",,"25.0 ","25.0 ","7.2 ","7.9 ","1780 ","2080 ","1.4 ","1.8 ","0.30 ","0.60 ","3 ","3 ","20 ","23 ","1050 ","1220 ","0.2 ","0.5 ","0.001 ",0.001,
,"AUTONAGAR VIJAYAWADA ANDHRA PRADESH ",,,,,,,,,,,,,,,,,,,,,
,"BOREWELL WATER , APIIC",,,,,,,,,,,,,,,,,,,,,
4376,"OFFICE, IDA KONDAPALLI,","26.0 ","26.0 ","7.1 ","7.6 ","3850 ","3860 ","2.0 ","2.2 ","2.47 ","3.80 ","3 ","3 ","20 ","21 ","2310 ","2348 ","0.8 ","1.0 ","0.001 ",0.001,
,IBRAHIMPATNAM (M) ANDHRA PRADESH,,,,,,,,,,,,,,,,,,,,,
,"BOREWELL WATER , SRI",,,,,,,,,,,,,,,,,,,,,
,VENKATESWARA SWAMY,,,,,,,,,,,,,,,,,,,,,
4380,,"22.0 ","22.0 ","7.1 ","7.5 ","860 ","899 ","1.0 ","1.8 ","0.30 ","1.50 ","3 ","3 ","14 ","15 ","508 ","550 ","0.5 ","0.6 ","0.001 ",0.001,
,"TEMPLE, VENKATAPALEM (V),",,,,,,,,,,,,,,,,,,,,,
