# -------------------------------------------------------
# ---- CSV created by:  mightymerge.io                   
# -------------------------------------------------------

,,,Table - 22.1: Water Quality of ground water in Andhra Pradesh - 2016,,,,,,,,,,,,,
,Station,,,,,,,,,,,,,,,
Station,,,,,,,,Conductivity,,B.O.D.,Nitrate-N + Nitrite-N,,Faecal Coli form,,Total Coli form,
,"Name ","State Name ","Temperature ⁰C ",,"pH ",,,,,,,,,,,
code,,,,,,,,(μmhos/cm),(mg/l),,(mg/l),,(MPN/100ml),,,(MPN/100ml)
,,,"min ","max ","min ","max ","min ","max ","min ","max ","min ","max ","min ","max ","min ",max
,"Water quality criteria ",,,,,"6.5-8.5 ",,,,"<3 mg/l ",,,"<2500MPN/100ml ",,<5000MPN/100ml,
"26 ","WELL AT VIJAYWADA ","ANDHRA PRADESH ","22 ","26 ","7.51 ","8.03 ","960 ","1418 ",,,"2.7 ","4.6 ",,,"400 ",400
,"BORE WELL. - KRISHNA MURTHY, D.NO. 48-16-43",,,,,,,,,,,,,,,
,,"ANDHRA PRADESH ","23 ","26 ","7.7 ","8 ","1214 ","1260 ",,,"0 ","1.9 ",,,"400 ",400
1513,"AUTONAGAR VIJJAYAWADA, KRISNA DIST ",,,,,,,,,,,,,,,
,BORE WELL - VIJAY KUMAR AUTONAGAR,,,,,,,,,,,,,,,
,,"ANDHRA PRADESH ","23 ","23 ","7.4 ","8 ","1010 ","1427 ",,,"0.2 ","1.1 ",,,"400 ",400
1514,"VIJAYAWADA, KRISHNA DIST ",,,,,,,,,,,,,,,
"1516 ","BORE WELL OF NAVLOK GARDENS NELLORE ","ANDHRA PRADESH ",,,"8.5 ","8.6 ","557 ","670 ",,,"0.5 ","0.6 ",,,"400 ",400
,BORE WELL. - TUNGBHADRA RIVER NEAR,,,,,,,,,,,,,,,
,,"ANDHRA PRADESH ","23 ","29 ","7.6 ","7.9 ","4060 ","4220 ","0.7 ","1 ","2.1 ","2.6 ",,,"18 ",18
1517,"KURNOOL ",,,,,,,,,,,,,,,
"1518 ","BORE WELL. - NANDYAL, KURNOOL DIST ","ANDHRA PRADESH ","22 ","28 ","7.7 ","7.9 ","4310 ","4310 ","0.8 ","1 ","2.3 ","3.2 ",,,"16 ",16
"1519 ","BORE WELL - NAGIRI, CHITTOOR DIST ","ANDHRA PRADESH ","28 ","31 ","7.7 ","8.2 ","1122 ","1406 ","0.5 ","1 ","1.8 ","1.9 ",,,"16 ",16
,"BORE WELL. - SWARNAMUKHI RIVER,",,,,,,,,,,,,,,,
,,"ANDHRA PRADESH ","28 ","30 ","7.8 ","8.3 ","659 ","744 ","0.7 ","1.2 ","1.1 ","1.1 ",,,"16 ",16
1520,"SRIKALAHASTI, CHITTOOR DIST ",,,,,,,,,,,,,,,
,"BORE WELL. - NEAR RAMA TEMPLE , WARD NO.2",,,,,,,,,,,,,,,
,,"ANDHRA PRADESH ","26 ","26 ","7.3 ","7.5 ","2535 ","2813 ","2.2 ","2.6 ","5.2 ","5.3 ","11 ","11 ","460 ",460
1521,", MINDI , VISAKHAPATNAM ",,,,,,,,,,,,,,,
"1522 ","OPEN WELL. PEDDANUYYI - VIZIANAGARAM ","ANDHRA PRADESH ","24 ","27 ","7.2 ","7.4 ","478 ","485 ","1.2 ","1.5 ","0.7 ","1 ","7 ","9 ","150 ",150
,"BORE WELL - NEAR M/S ANDHRA SUGARS LTD. ,",,,,,,,,,,,,,,,
,,"ANDHRA PRADESH ","26 ","26 ","5.9 ","7.8 ","324 ","395 ","1 ","1.2 ","1.2 ","1.3 ","9 ","11 ","14 ",21
1523,"KOVVUR , W.G.DIST ",,,,,,,,,,,,,,,
,OPEN WELL. -NEAR PARTAP NAGAR BRIIDGE -,,,,,,,,,,,,,,,
,,"ANDHRA PRADESH ","28 ","28 ","7.3 ","7.5 ","1105 ","1303 ","1.2 ","1.4 ","0.8 ","1.1 ","7 ","7 ","20 ",28
1524,"KAKINADA , E.G.DIST ",,,,,,,,,,,,,,,
,"BORE WELL NEAR VILLAGE SECRETARIAT,",,,,,,,,,,,,,,,
