Year,STN_Code,Monitoring_Location,State,Temp_Min_C,Temp_Max_C,pH_Min,pH_Max,Conductivity_Min,Conductivity_Max,BOD_Min,BOD_Max,NitrateN_NitriteN_Min,NitrateN_NitriteN_Max,Fecal_Coliform_Min,Fecal_Coliform_Max,Total_Coliform_Min,Total_Coliform_Max,TDS_Min,TDS_Max,Fluoride_Min,Fluoride_Max,Arsenic_Min,Arsenic_Max,Temp_Mean,Temp_Exceeds_BIS,pH_Mean,pH_Exceeds_BIS,Conductivity_Mean,BOD_Mean,NitrateN_NitriteN_Mean,NitrateN_NitriteN_Exceeds_BIS,Fecal_Coliform_Mean,Total_Coliform_Mean,TDS_Mean,TDS_Exceeds_BIS,Fluoride_Mean,Fluoride_Exceeds_BIS,Arsenic_Mean,Arsenic_Exceeds_BIS
2020,2592,WELL AT NALANDA,Bihar,27.0,27.0,7.2,7.2,2110.0,2110.0,,,0.93,0.93,49.0,49.0,70.0,70.0,,,,,0.45,0.45,27.0,0,7.2,0,2110.0,,0.93,0,49.0,70.0,,0,,0,0.45,1
2020,2593,GROUND WATER FROM,Bihar,29.0,29.0,7.1,7.1,1370.0,1370.0,,,0.38,0.38,4.0,4.0,6.0,6.0,,,,,0.56,0.56,29.0,0,7.1,0,1370.0,,0.38,0,4.0,6.0,,0,,0,0.56,1
2020,2594,NAWADA GROUND WATER FROM,Bihar,,,7.0,7.0,1260.0,1260.0,,,5.81,5.81,2.0,2.0,13.0,13.0,,,816.0,816.0,0.84,0.84,,0,7.0,0,1260.0,,5.81,0,2.0,13.0,,0,816.0,1,0.84,1
2020,2595,SAHARSA GROUND WATER FROM,Bihar,28.0,28.0,7.5,7.5,981.0,981.0,,,,,,1600.0,1600.0,1600.0,,,,,0.6,0.6,28.0,0,7.5,0,981.0,,,0,,1600.0,,0,,0,0.6,1
2020,2596,SAMASTIPUR GROUND WATER FROM,Bihar,27.0,27.0,,,308.0,308.0,,,,,,1600.0,1600.0,1600.0,,,198.0,198.0,,,27.0,0,,0,308.0,,,0,,1600.0,,0,198.0,1,,0
2020,2597,GROUND WATER FROM SIWAN SITAMARHI,Bihar,,,7.3,7.3,524.0,524.0,,,,,,,,,,,340.0,340.0,0.7,0.7,,0,7.3,0,524.0,,,0,,,,0,340.0,1,0.7,1
2020,2600,GROUND WATER FROM,Bihar,26.0,26.0,7.0,7.0,841.0,841.0,,,,,4.0,4.0,6.0,6.0,,,,,0.3,0.3,26.0,0,7.0,0,841.0,,,0,4.0,6.0,,0,,0,0.3,1
2020,3138,GROUND WATER FROM ARRAH VAISHALI,Bihar,26.0,26.0,7.8,7.8,452.0,452.0,,,1.9,1.9,13.0,13.0,23.0,23.0,,,,,,,26.0,0,7.8,0,452.0,,1.9,0,13.0,23.0,,0,,0,,0
2020,3139,GROUND WATER FROM ARARIA,Bihar,,,6.5,6.5,437.0,437.0,,,5.9,5.9,,1700.0,,,18.0,18.0,386.0,386.0,0.81,0.81,,0,6.5,0,437.0,,5.9,0,,,18.0,0,386.0,1,0.81,1
2020,3140,GROUND WATER FROM,Bihar,29.0,29.0,7.7,7.7,497.0,497.0,,,,,27.0,27.0,110.0,110.0,,,332.0,332.0,0.35,0.35,29.0,0,7.7,0,497.0,,,0,27.0,110.0,,0,332.0,1,0.35,1
