# -------------------------------------------------------
# ---- CSV created by:  mightymerge.io                   
# -------------------------------------------------------

,,TABLE - 1: WATER QUALITY OF GROUND WATER IN ANDHRA PRADESH - 2018,,,,,,,,,,,,,,
,,,,,,,,,,,,Nitrate-N +,,,,
,,,Temperature,,,,Conductivity,,,B.O.D.,,,Faecal Coli form,,Total Coli form,
,,,,,,"pH ",,,,,,Nitrite-N,,,,
"3092 ",,"ANDHRA PRADESH ","28 ","28 ","7.0 ","8.0 ","862 ","1191 ","1.3 ","1.7 ","5.7 ","7.3 ","11 ","15 ","150 ",150
,"SRIKAKULAM ",,,,,,,,,,,,,,,
,"BORE WELL AT ALLADAPALEM VILLAGE,",,,,,,,,,,,,,,,
"3093 ",,"ANDHRA PRADESH ","30 ","30 ","7.0 ","7.0 ","1710 ","1935 ","0.8 ","1.4 ","7.2 ","12.1 ","9 ","11 ","75 ",210
,"PYDIBHIMAVARAM ",,,,,,,,,,,,,,,

,,TABLE - 2: WATER QUALITY OF GROUND WATER IN ASSAM - 2018,,,,,,,,,,,,,,
,,,,,,,,,,,,Nitrate-N +,,,,
,,,Temperature,,,,Conductivity,,,B.O.D.,,,Faecal Coli form,,Total Coli form,
,,,,,,"pH ",,,,,,Nitrite-N,,,,
Station,,,,,,,,,,,,,,,,
,,,"⁰C ",,,,(μmhos/cm),,,(mg/l),,,(MPN/100ml),,(MPN/100ml),
,"Station Name ",State Name,,,,,,,,,,,,,,
,,,,,,,,,,,,(mg/l),,,,
"Code ",,,,,,,,,,,,,,,,
,,,"Min ","Max ","Min ","Max ","Min ","Max ","Min ","Max ","Min ","Max ","Min ","Max ","Min ",Max
"1533 ","DIGBOI, TINSUKIA DISTT., ASSAM ","ASSAM ","18 ","22 ","6.0 ","6.1 ","45 ","448 ","1.1 ","2.5 ","0.3 ","0.4 ","2 ","2 ","2 ",2
