Year,STN_Code,Monitoring_Location,State,Temp_Min_C,Temp_Max_C,pH_Min,pH_Max,Conductivity_Min,Conductivity_Max,BOD_Min,BOD_Max,NitrateN_NitriteN_Min,NitrateN_NitriteN_Max,Fecal_Coliform_Min,Fecal_Coliform_Max,Total_Coliform_Min,Total_Coliform_Max,TDS_Min,TDS_Max,Fluoride_Min,Fluoride_Max,Arsenic_Min,Arsenic_Max,Temp_Mean,Temp_Exceeds_BIS,pH_Mean,pH_Exceeds_BIS,Conductivity_Mean,BOD_Mean,NitrateN_NitriteN_Mean,NitrateN_NitriteN_Exceeds_BIS,Fecal_Coliform_Mean,Total_Coliform_Mean,TDS_Mean,TDS_Exceeds_BIS,Fluoride_Mean,Fluoride_Exceeds_BIS,Arsenic_Mean,Arsenic_Exceeds_BIS
2021,3092,"BORE WELL AT ALLADAPALEM 29.0 VILLAGE, PYDIBHIMAVARAM ANDHRA PRADESH BORE WELL AT ARINAMA",Andhra Pradesh,31.0,7.4,8.1,712.0,1139.0,2.0,2.4,0.9,7.95,3.0,4.0,64.0,75.0,492.0,754.0,1.0,1.1,0.001,0.001,,19.2,0,360.05,1,570.5,1.65,5.475,0,34.0,283.5,377.5,0,0.5505,0,,0
2021,4360,"AKKIVALASA, SRIKAKULAM ANDHRA PRADESH BORE WELL AT IDA,",Andhra Pradesh,29.0,7.7,7.8,990.0,1280.0,1.8,2.0,1.0,3.48,2.0,7.0,75.0,93.0,660.0,868.0,0.4,0.4,0.007,0.009,,18.35,0,498.9,1,640.9,1.5,2.74,0,41.0,376.5,434.2,0,0.20350000000000001,0,,0
2021,3091,"RAMANAYYAPETA, KKAINADA ANDHRA PRADESH BORE WELL AT KAPULUPPADA",Andhra Pradesh,26.0,7.0,7.1,3340.0,4260.0,2.2,3.6,4.9,41.6,4.0,7.0,93.0,93.0,2320.0,2832.0,0.8,1.1,0.001,0.001,,16.5,0,1673.55,1,2131.1,4.25,22.8,0,50.0,1206.5,1416.4,0,0.5505,0,,0
2021,4353,"HOUSE, GAJAPATHINAGARAM DUMPSITE, VISHAKHAPATNAM ANDHRA PRADESH BORE WELL AT MANGARAJU",Andhra Pradesh,27.0,7.9,8.1,2660.0,3940.0,1.4,2.7,3.0,46.25,3.0,4.0,63.0,93.0,1844.0,2640.0,0.4,0.5,0.001,0.001,,17.45,0,1334.05,1,1970.7,2.85,24.625,0,33.5,968.5,1320.2,0,0.2505,0,,0
2021,3087,"VILLAGE, PAYAKARAOPETA (M) ANDHRA PRADESH BORE WELL NEAR VILLAGE",Andhra Pradesh,27.0,7.5,7.8,2031.0,2050.0,1.4,1.8,0.97,7.1,3.0,3.0,21.0,28.0,1210.0,1218.0,0.4,1.0,0.001,0.001,,17.25,0,1019.4,1,1025.7,1.385,5.05,0,12.0,619.0,609.2,0,0.5005,0,,0
2021,4355,"SECRETARIAT, PATHAPADU (V) ANDHRA PRADESH BORE WELL, CHIPPADA VILLAGE,",Andhra Pradesh,27.0,7.9,8.0,660.0,1482.0,2.2,2.2,2.05,3.6,4.0,7.0,43.0,120.0,442.0,980.0,0.4,1.4,0.001,0.001,,17.45,0,334.0,1,742.1,2.125,3.8,0,25.0,281.0,490.2,0,0.7004999999999999,0,,0
2021,4354,"TEMPLE RAJAYYAPETA VILLAGE, BHEEMUNIPATNAM (M) ANDHRA PRADESH BORE WELL, SRI NOOKATATA",Andhra Pradesh,27.0,7.4,7.6,11120.0,11420.0,2.2,2.5,2.2,15.4,7.0,9.0,120.0,150.0,7340.0,7968.0,0.3,0.7,0.001,0.001,,17.2,0,5563.8,1,5711.1,2.35,11.2,0,64.5,3745.0,3984.15,0,0.3505,0,,0
2021,4394,NAKKAPALLI (M) ANDHRA PRADESH BOREWELL AT APLLC OFFICE INDUSTRIAL ESTATE GROWTH,Andhra Pradesh,28.0,6.9,7.1,1584.0,3239.0,1.0,1.0,5.8,7.9,2.0,4.0,2.0,21.0,901.0,1764.0,0.6,1.3,0.001,0.001,,17.45,0,795.55,1,1620.0,3.4,4.95,0,3.0,461.0,882.3,0,0.6505,0,,0
2021,4395,"INDUSTRIAL ESTATE, CENTRE, THUMAKUNTA, HINDUPUR (M) ANDHRA PRADESH BOREWELL AT APLLC OFFICE",Andhra Pradesh,28.0,7.0,7.1,3558.0,3780.0,1.0,1.0,10.4,11.4,2.0,6.0,2.0,33.0,1868.0,2144.0,0.5,1.5,0.001,0.001,,17.5,0,1782.55,1,1890.5,5.7,6.7,0,4.0,950.5,1072.25,0,0.7505,0,,0
2021,4377,"JEWELLARY PARK, ANANTAPURAM (M) ANDHRA PRADESH BOREWELL AT IMITATION",Andhra Pradesh,27.0,8.1,8.1,1896.0,1920.0,1.4,1.8,0.3,2.8,3.0,3.0,14.0,21.0,1158.0,1170.0,0.8,0.9,0.001,0.001,,17.55,0,952.05,1,960.7,1.05,2.9,0,8.5,589.5,585.4,0,0.4505,0,,0
2021,1519,MACHILIPTNAM ANDHRA PRADESH,Andhra Pradesh,29.0,7.1,7.3,1872.0,2741.0,1.0,1.0,5.2,6.8,2.0,4.0,2.0,16.0,1061.0,1361.0,0.5,0.5,0.001,0.001,,18.05,0,939.65,1,1371.0,3.1,4.4,0,3.0,538.5,680.75,0,0.2505,0,,0
2021,1518,BOREWELL AT NAGIRI ANDHRA PRADESH BOREWELL AT NANDYAL,Andhra Pradesh,27.0,7.2,7.3,6619.0,7770.0,1.0,1.0,5.8,6.2,2.0,2.0,2.0,14.0,4068.0,4413.0,1.0,1.1,0.001,0.001,,17.1,0,3313.15,1,3885.5,3.4,4.1,0,2.0,2041.0,2207.0,0,0.5505,0,,0
2021,4364,"KA;PA, NEAR AP PAPER MAILLS (KUNDU) ANDHRA PRADESH BOREWELL AT RAJIV GRUHA",Andhra Pradesh,28.0,7.6,7.6,1048.0,1048.0,1.5,1.5,3.22,3.22,3.0,3.0,93.0,93.0,680.0,680.0,0.7,0.7,0.001,0.001,,17.8,0,527.8,1,524.75,2.3600000000000003,3.1100000000000003,0,48.0,386.5,340.35,0,0.3505,0,,0
2021,4384,"INDUSTRIES LTD, MALLAYAPETA, KATHERU, RAJAMAHENDRAVARAM BOREWELL AT ZP HIGH SCHOOL, UDDANAM REGION, 24.0 AMALAPADU (V) VAJRAPUKOTTURU ANDHRA PRADESH BOREWELL IN FRONT OF M/S BHAGEERADHA CHEMICALS &",Andhra Pradesh,23.0,7.2,7.3,9090.0,10500.0,2.0,2.2,5.2,7.41,3.0,3.0,23.0,28.0,5634.0,6600.0,1.4,1.7,0.001,0.001,,15.1,0,4548.65,1,5251.0,3.7,5.205,0,13.0,2831.0,3300.7,0,0.8504999999999999,0,,0
2021,1513,"D.NO. 48-16-43 AUTONAGAR CHERUVUKOMMUPALEM (V) ONGOLE (M) ANDHRA PRADESH BOREWELL KRISHNA MURTHY,",Andhra Pradesh,25.0,7.1,7.8,1877.0,1970.0,1.4,1.8,0.3,0.7,3.0,3.0,21.0,39.0,1120.0,1160.0,0.3,0.3,0.001,0.001,,16.05,0,942.4,1,985.7,1.05,1.85,0,12.0,579.5,580.15,0,0.1505,0,,0
2021,1523,VIJJAYAWADA ANDHRA PRADESH BOREWELL NEAR M/S ANDHRA,Andhra Pradesh,26.0,7.0,7.6,310.0,1447.0,2.0,2.0,0.79,1.1,4.0,7.0,75.0,93.0,212.0,988.0,0.2,1.1,0.001,0.001,,16.5,0,158.8,1,724.5,1.395,2.55,0,41.0,152.5,494.1,0,0.5505,0,,0
2021,4392,"GOVINDARAJA SWAMY TEMPLE, SUGARS LTD. , KOVVUR ANDHRA PRADESH BOREWELL NEAR SRI",Andhra Pradesh,27.0,6.9,7.5,1380.0,1414.0,1.0,1.0,1.4,2.6,2.0,3.0,2.0,12.0,714.0,784.0,0.6,1.1,0.001,0.001,,16.95,0,693.75,1,707.5,1.2,2.3,0,2.5,363.0,392.3,0,0.5505,0,,0
2021,1520,SWARNAMUKHI RIVER AT TIRUPATI TOWN ANDHRA PRADESH BOREWELL NEAR,Andhra Pradesh,29.0,7.3,7.3,1027.0,1266.0,1.0,1.0,2.2,2.4,2.0,2.0,2.0,11.0,582.0,642.0,0.4,0.5,0.002,0.002,,18.15,0,517.15,1,633.5,1.6,2.2,0,2.0,296.5,321.2,0,0.251,0,,0
2021,1517,SRIKALAHASTI ANDHRA PRADESH BOREWELL NEAR TUNGBHADRA,Andhra Pradesh,26.0,7.8,7.9,4520.0,5663.0,1.0,1.0,6.7,10.1,2.0,3.0,2.0,29.0,2568.0,3370.0,1.3,1.8,0.001,0.001,,16.9,0,2263.95,1,2832.0,3.85,6.05,0,2.5,1298.5,1685.65,0,0.9005,0,,0
2021,1516,RIVER KURNOOL ANDHRA PRADESH BOREWELL OF NAVLOK,Andhra Pradesh,21.0,8.1,8.1,1080.0,1100.0,1.2,1.4,1.1,1.18,3.0,3.0,15.0,21.0,630.0,658.0,0.4,0.5,0.001,0.001,,14.55,0,544.05,1,550.6,1.25,2.09,0,9.0,325.5,329.2,0,0.2505,0,,0
2021,1514,"GARDENS, NELLORE ANDHRA PRADESH BOREWELL VIJAY KUMAR",Andhra Pradesh,25.0,7.2,7.9,1780.0,2080.0,1.4,1.8,0.3,0.6,3.0,3.0,20.0,23.0,1050.0,1220.0,0.2,0.5,0.001,0.001,,16.1,0,893.95,1,1040.7,1.05,1.8,0,11.5,536.5,610.1,0,0.2505,0,,0
2021,4376,"OFFICE, IDA KONDAPALLI, AUTONAGAR VIJAYAWADA ANDHRA PRADESH BOREWELL WATER , APIIC",Andhra Pradesh,26.0,7.1,7.6,3850.0,3860.0,2.0,2.2,2.47,3.8,3.0,3.0,20.0,21.0,2310.0,2348.0,0.8,1.0,0.001,0.001,,16.55,0,1928.8,1,1931.0,2.335,3.4,0,11.5,1165.5,1174.4,0,0.5005,0,,0
2021,4380,"IBRAHIMPATNAM (M) ANDHRA PRADESH BOREWELL WATER , SRI VENKATESWARA SWAMY",Andhra Pradesh,22.0,7.1,7.5,860.0,899.0,1.0,1.8,0.3,1.5,3.0,3.0,14.0,15.0,508.0,550.0,0.5,0.6,0.001,0.001,,14.55,0,433.75,1,450.0,1.05,2.25,0,8.5,261.5,275.25,0,0.3005,0,,0
2021,4393,"BOREWELL WATER POLICE STATION, AUTONAGAR, 21.0 PEDAKAKANI, GUNTUR ANDHRA PRADESH CLOSED MSW DUMPSITE,",Andhra Pradesh,25.0,7.3,7.4,2810.0,3352.0,1.0,1.0,10.4,13.1,2.0,9.0,2.0,71.0,1589.0,1785.0,0.6,1.2,0.004,0.004,,16.15,0,1408.7,1,1676.5,5.7,7.55,0,5.5,830.0,892.8,0,0.602,0,,0
2021,3090,"PITTAVANIPALEM, UKKAYAPALLI (V), KADAPA (M) ANDHRA PRADESH HAND PUMP AT",Andhra Pradesh,27.0,6.7,7.6,1610.0,1983.0,2.2,2.2,2.5,18.8,3.0,4.0,75.0,75.0,1120.0,1312.0,0.3,0.5,0.001,0.001,,16.85,0,808.8,1,992.6,2.35,10.9,0,39.5,597.5,656.15,0,0.2505,0,,0
2021,3089,"VISHAKHAPATNAM ANDHRA PRADESH HAND PUMP AT TANAM VILL.,",Andhra Pradesh,28.0,7.2,7.9,2180.0,2180.0,2.1,2.2,1.6,13.1,4.0,4.0,75.0,93.0,1480.0,1524.0,1.1,1.3,0.001,0.001,,17.6,0,1093.95,1,1091.05,1.9000000000000001,8.55,0,39.5,786.5,762.55,0,0.6505,0,,0
2021,1524,VISHAKHAPATNAM ANDHRA PRADESH OPEN WELL NEAR PARTAP,Andhra Pradesh,30.0,7.3,7.7,1147.0,1295.0,2.1,2.1,0.9,4.78,4.0,4.0,75.0,75.0,784.0,848.0,0.3,1.0,0.001,0.001,,18.65,0,577.35,1,648.55,1.5,4.390000000000001,0,39.5,429.5,424.15,0,0.5005,0,,0
2021,1521,"TEMPLE , WARD NO.2 , MINDI , NAGAR BRIDGE -KAKINADA ANDHRA PRADESH OPEN WELL NEAR RAMA",Andhra Pradesh,27.0,6.8,7.5,1977.0,2580.0,1.8,4.0,1.5,12.4,7.0,7.0,93.0,120.0,1296.0,1812.0,0.8,0.8,0.001,0.001,,16.9,0,992.25,1,1290.9,2.75,9.7,0,50.0,708.0,906.4,0,0.4005,0,,0
2021,1522,VISAKHAPATNAM ANDHRA PRADESH OPEN WELL PEDDANUVVI -,Andhra Pradesh,28.0,7.4,7.9,1120.0,1190.0,1.6,2.1,1.5,2.87,3.0,9.0,75.0,75.0,780.0,792.0,0.5,0.8,0.001,0.001,,17.7,0,563.95,1,595.8,1.8,2.935,0,42.0,427.5,396.25,0,0.4005,0,,0
2021,26,VIZIANAGARAM ANDHRA PRADESH WELL AT GRAM PANCHAYAT,Andhra Pradesh,25.0,7.0,8.1,1597.0,2160.0,1.0,2.2,0.7,1.89,3.0,3.0,20.0,23.0,942.0,1314.0,0.4,0.7,0.001,0.001,,16.0,0,802.55,1,1080.5,1.4500000000000002,2.445,0,11.5,482.5,657.2,0,0.3505,0,,0
2021,1537,"OFFICE, KAANURU, VIJAYWADA ANDHRA PRADESH GROUND WATER AT (JORHAT,",Andhra Pradesh,26.0,7.0,7.2,276.0,278.0,2.3,2.3,0.7,0.8,2.0,2.0,2.0,2.0,156.0,224.0,0.3,0.3,0.01,0.01,,16.5,0,141.6,1,140.15,1.5,1.4,0,2.0,79.0,112.15,0,0.155,0,,0
2021,1539,"ASSAM) ASSAM GROUND WATER AT BARPETA,",Assam,31.0,7.4,7.5,304.0,329.0,2.0,2.1,0.8,0.8,2.0,2.0,2.0,2.0,172.0,180.0,0.3,0.3,0.01,0.01,,19.2,0,155.75,1,165.5,1.4500000000000002,1.4,0,2.0,87.0,90.15,0,0.155,0,,0
